,accommodates,bathrooms,bedrooms,beds,price,security_deposit,cleaning_fee,number_of_reviews,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
56,4,2.0,2.0,2,225.00,,75.00,10,98,10.0,10.0,10.0,10.0,9.0
57,2,1.0,1.0,1,89.00,,10.00,244,97,9.0,10.0,10.0,10.0,10.0
58,4,1.0,1.0,2,134.00,200.00,100.00,40,98,10.0,10.0,10.0,10.0,10.0
59,2,1.0,1.0,1,75.00,,100.00,2,80,10.0,10.0,10.0,10.0,9.0
60,2,1.0,1.0,1,65.00,,,46,97,10.0,10.0,10.0,10.0,10.0
61,6,2.5,3.0,4,375.00,300.00,100.00,23,96,10.0,10.0,10.0,10.0,9.0
62,3,1.0,1.0,2,97.00,100.00,45.00,44,98,10.0,10.0,10.0,10.0,10.0
63,2,1.0,1.0,1,145.00,150.00,45.00,14,97,10.0,10.0,10.0,10.0,9.0
64,2,1.0,1.0,1,120.00,350.00,60.00,25,99,10.0,10.0,10.0,10.0,10.0
65,4,1.0,1.0,1,200.00,150.00,,35,95,9.0,10.0,10.0,10.0,9.0
66,2,1.0,1.0,1,70.00,250.00,,31,95,10.0,10.0,10.0,10.0,10.0
67,2,1.0,1.0,2,150.00,250.00,30.00,7,97,10.0,10.0,10.0,10.0,9.0
68,3,1.0,1.0,1,200.00,,50.00,4,95,9.0,10.0,10.0,10.0,10.0
69,2,1.0,1.0,1,60.00,,55.00,16,98,10.0,10.0,10.0,10.0,10.0
70,2,1.0,1.0,1,80.00,,,5,92,8.0,9.0,10.0,10.0,10.0
71,5,1.5,2.0,2,150.00,100.00,90.00,26,94,9.0,10.0,10.0,10.0,9.0
72,6,1.5,2.0,3,195.00,,,113,94,9.0,10.0,10.0,10.0,9.0
73,5,3.0,2.0,2,224.00,600.00,120.00,15,96,10.0,9.0,10.0,10.0,9.0
74,3,1.0,2.0,2,115.00,200.00,40.00,44,91,9.0,10.0,10.0,9.0,9.0
75,2,1.0,1.0,1,55.00,,,7,94,10.0,10.0,10.0,10.0,10.0
76,8,2.5,4.0,5,338.00,500.00,200.00,13,97,10.0,10.0,10.0,10.0,10.0
77,2,1.0,1.0,1,79.00,,10.00,44,97,10.0,10.0,10.0,10.0,10.0
78,2,1.0,1.0,1,80.00,100.00,15.00,56,96,10.0,10.0,10.0,10.0,10.0
79,2,1.0,0.0,1,85.00,200.00,35.00,11,95,10.0,9.0,10.0,10.0,9.0
80,2,1.0,1.0,1,80.00,,25.00,39,98,10.0,10.0,10.0,10.0,10.0
81,3,1.0,1.0,1,49.00,,7.00,10,90,9.0,10.0,10.0,10.0,9.0
82,4,2.5,3.0,2,100.00,300.00,85.00,6,90,10.0,9.0,9.0,10.0,9.0
83,2,1.0,1.0,1,79.00,,,4,85,8.0,10.0,10.0,10.0,10.0
84,2,1.0,0.0,1,75.00,250.00,50.00,79,96,10.0,10.0,10.0,10.0,10.0
85,2,1.0,1.0,1,57.00,100.00,15.00,50,96,10.0,10.0,10.0,10.0,10.0
86,4,1.0,1.0,2,99.00,,45.00,28,89,9.0,10.0,10.0,10.0,9.0
87,2,1.0,1.0,1,96.00,,,57,92,9.0,10.0,10.0,9.0,9.0
88,4,1.0,1.0,1,99.00,100.00,30.00,38,94,9.0,10.0,10.0,9.0,9.0
89,4,1.0,2.0,2,79.00,,35.00,71,95,10.0,10.0,10.0,10.0,9.0
90,2,1.0,1.0,1,115.00,200.00,85.00,17,99,10.0,10.0,10.0,10.0,10.0
91,10,2.5,3.0,5,350.00,500.00,125.00,13,98,10.0,10.0,10.0,10.0,10.0
92,6,3.0,3.0,3,295.00,300.00,131.00,3,93,7.0,9.0,10.0,9.0,8.0
93,2,1.5,1.0,1,70.00,100.00,20.00,19,98,10.0,10.0,10.0,10.0,10.0
94,2,1.0,1.0,1,53.00,,,18,99,10.0,10.0,10.0,10.0,10.0
95,4,1.0,2.0,2,225.00,,45.00,4,95,10.0,9.0,10.0,10.0,10.0
96,2,1.5,1.0,1,35.00,100.00,7.00,7,97,10.0,10.0,10.0,10.0,10.0
97,2,1.0,1.0,1,55.00,,15.00,23,97,10.0,10.0,10.0,9.0,10.0
98,2,1.5,1.0,1,45.00,100.00,8.00,2,90,8.0,10.0,10.0,10.0,9.0
99,8,1.0,2.0,6,133.00,350.00,50.00,39,95,10.0,9.0,10.0,10.0,9.0
100,2,1.0,1.0,1,65.00,,5.00,64,96,10.0,10.0,10.0,10.0,10.0
101,1,2.0,1.0,1,61.00,,15.00,4,80,8.0,9.0,9.0,9.0,9.0
102,2,1.0,1.0,1,70.00,250.00,50.00,8,90,9.0,10.0,10.0,10.0,10.0
103,1,1.0,1.0,1,52.00,,20.00,14,97,10.0,10.0,10.0,10.0,10.0
104,2,1.0,1.0,1,149.00,100.00,50.00,85,99,10.0,10.0,10.0,9.0,10.0
105,2,1.0,1.0,1,89.00,,,125,97,10.0,10.0,10.0,10.0,10.0
106,10,2.0,3.0,3,225.00,300.00,100.00,121,91,9.0,10.0,10.0,9.0,9.0
107,3,1.0,1.0,2,120.00,200.00,55.00,131,97,10.0,10.0,10.0,9.0,10.0
108,2,1.0,0.0,1,85.00,,30.00,49,98,10.0,10.0,10.0,10.0,10.0
