id,accommodates,bathrooms,bedrooms,beds,price,number_of_reviews,review_scores_rating,,24-HourCheck-in,AirConditioning,Breakfast,Buzzer/WirelessIntercom,CableTV,CarbonMonoxideDetector,Cat(s),Dog(s),Doorman,ElevatorinBuilding,Essentials,Family/KidFriendly,FireExtinguisher,FirstAidKit,FreeParkingonPremises,Gym,HairDryer,Hangers,Heating,HotTub,IndoorFireplace,Iron,Kitchen,LaptopFriendlyWorkspace,LockonBedroomDoor,Otherpet(s),PetsAllowed,Pool,SafetyCard,Shampoo,SmokeDetector,SmokingAllowed,SuitableforEvents,TV,Washer,WheelchairAccessible,WirelessInternet
1110749,6,1.5,3.0,3.0,325.00,68,92.0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1
5978498,4,3.0,3.0,2.0,175.00,8,88.0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,1
1686930,4,1.0,2.0,2.0,159.00,62,97.0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,1
7680289,4,1.0,1.0,2.0,125.00,19,95.0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1
7207641,8,3.0,3.0,3.0,348.00,5,96.0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1
5062445,1,1.0,1.0,1.0,45.00,7,97.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1
8925878,4,1.0,1.0,2.0,150.00,2,100.0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1
6389657,2,1.0,0.0,1.0,80.00,11,98.0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,1,0,1
4218733,4,1.0,1.0,2.0,110.00,71,90.0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,1,0,1
2715623,3,1.0,1.0,2.0,148.00,9,91.0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1
1392332,4,1.5,2.0,2.0,350.00,41,98.0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,1
7308567,3,1.5,1.0,2.0,150.00,18,98.0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1
6575380,5,1.0,1.0,1.0,150.00,9,100.0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
6004058,2,1.0,0.0,1.0,100.00,20,92.0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1
8515408,2,1.0,0.0,1.0,110.00,3,100.0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1
5383192,4,1.0,1.0,2.0,160.00,1,100.0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,1
1112092,4,1.0,1.0,3.0,130.00,26,95.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7772661,2,1.0,0.0,1.0,99.00,2,100.0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1
7714294,3,1.0,1.0,1.0,137.00,3,100.0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1
6361863,2,1.0,1.0,1.0,145.00,44,94.0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1
8105221,2,1.0,1.0,1.0,80.00,10,100.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1
3269390,2,1.0,0.0,1.0,95.00,77,98.0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,1,0,1
9282409,2,2.0,1.0,1.0,85.00,2,100.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1
8095168,2,1.0,1.0,1.0,70.00,1,100.0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1
2746782,2,1.0,0.0,1.0,90.00,109,97.0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
6424982,2,1.0,1.0,1.0,80.00,52,92.0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
