accommodates,bathrooms,bedrooms,beds,price,security_deposit,cleaning_fee,number_of_reviews,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
2,1.0,1.0,2,150.00,250.00,30.00,7,97,10.0,10.0,10.0,10.0,9.0
3,1.0,1.0,1,200.00,,50.00,4,95,9.0,10.0,10.0,10.0,10.0
2,1.0,1.0,1,60.00,,55.00,16,98,10.0,10.0,10.0,10.0,10.0
2,1.0,1.0,1,80.00,,,5,92,8.0,9.0,10.0,10.0,10.0
5,1.5,2.0,2,150.00,100.00,90.00,26,94,9.0,10.0,10.0,10.0,9.0
6,1.5,2.0,3,195.00,,,113,94,9.0,10.0,10.0,10.0,9.0
5,3.0,2.0,2,224.00,600.00,120.00,15,96,10.0,9.0,10.0,10.0,9.0
3,1.0,2.0,2,115.00,200.00,40.00,44,91,9.0,10.0,10.0,9.0,9.0
2,1.0,1.0,1,55.00,,,7,94,10.0,10.0,10.0,10.0,10.0
8,2.5,4.0,5,338.00,500.00,200.00,13,97,10.0,10.0,10.0,10.0,10.0
2,1.0,1.0,1,79.00,,10.00,44,97,10.0,10.0,10.0,10.0,10.0
2,1.0,1.0,1,80.00,100.00,15.00,56,96,10.0,10.0,10.0,10.0,10.0
2,1.0,0.0,1,85.00,200.00,35.00,11,95,10.0,9.0,10.0,10.0,9.0
2,1.0,1.0,1,80.00,,25.00,39,98,10.0,10.0,10.0,10.0,10.0
3,1.0,1.0,1,49.00,,7.00,10,90,9.0,10.0,10.0,10.0,9.0
4,2.5,3.0,2,100.00,300.00,85.00,6,90,10.0,9.0,9.0,10.0,9.0
2,1.0,1.0,1,79.00,,,4,85,8.0,10.0,10.0,10.0,10.0
2,1.0,0.0,1,75.00,250.00,50.00,79,96,10.0,10.0,10.0,10.0,10.0
2,1.0,1.0,1,57.00,100.00,15.00,50,96,10.0,10.0,10.0,10.0,10.0
4,1.0,1.0,2,99.00,,45.00,28,89,9.0,10.0,10.0,10.0,9.0
2,1.0,1.0,1,96.00,,,57,92,9.0,10.0,10.0,9.0,9.0
4,1.0,1.0,1,99.00,100.00,30.00,38,94,9.0,10.0,10.0,9.0,9.0
4,1.0,2.0,2,79.00,,35.00,71,95,10.0,10.0,10.0,10.0,9.0
2,1.0,1.0,1,115.00,200.00,85.00,17,99,10.0,10.0,10.0,10.0,10.0
10,2.5,3.0,5,350.00,500.00,125.00,13,98,10.0,10.0,10.0,10.0,10.0
6,3.0,3.0,3,295.00,300.00,131.00,3,93,7.0,9.0,10.0,9.0,8.0
2,1.5,1.0,1,70.00,100.00,20.00,19,98,10.0,10.0,10.0,10.0,10.0
2,1.0,1.0,1,53.00,,,18,99,10.0,10.0,10.0,10.0,10.0
