id,accommodates,bathrooms,bedrooms,beds,price,security_deposit,cleaning_fee,number_of_reviews,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
4814811,2,1.0,1.0,1.0,92.00,,29.00,28,99.0,10.0,10.0,10.0,10.0,10.0
9484823,3,1.0,1.0,2.0,90.00,,,0,,,,,,
660603,1,1.0,1.0,1.0,79.00,200.00,80.00,10,96.0,10.0,9.0,9.0,10.0,9.0
3940265,2,1.5,1.0,1.0,72.00,150.00,30.00,39,95.0,10.0,9.0,9.0,9.0,9.0
7500976,6,1.0,2.0,2.0,115.00,500.00,80.00,1,100.0,10.0,10.0,10.0,10.0,10.0
9516608,8,3.5,4.0,5.0,270.00,300.00,100.00,1,100.0,10.0,10.0,10.0,10.0,10.0
9712716,2,1.0,1.0,2.0,65.00,,55.00,3,100.0,10.0,10.0,10.0,10.0,10.0
5813657,10,3.5,4.0,6.0,300.00,300.00,100.00,21,93.0,9.0,9.0,9.0,10.0,10.0
8884826,6,1.5,2.0,3.0,122.00,250.00,49.00,3,100.0,10.0,10.0,10.0,10.0,10.0
1978743,2,3.0,1.0,1.0,87.00,200.00,30.00,49,99.0,10.0,10.0,10.0,10.0,10.0
6091789,6,1.5,3.0,5.0,200.00,,,1,100.0,10.0,10.0,10.0,10.0,10.0
6165353,3,1.0,1.0,1.0,156.00,95.00,25.00,4,95.0,10.0,10.0,10.0,10.0,10.0
1244053,1,1.0,1.0,1.0,90.00,200.00,35.00,32,95.0,9.0,9.0,10.0,10.0,9.0
8508223,8,3.5,3.0,5.0,325.00,500.00,125.00,1,100.0,10.0,10.0,10.0,10.0,10.0
6991188,3,1.0,1.0,1.0,115.00,100.00,10.00,3,100.0,10.0,10.0,9.0,10.0,9.0
7344117,10,2.5,2.0,8.0,425.00,,85.00,32,96.0,10.0,10.0,10.0,9.0,10.0
9506766,2,1.0,1.0,1.0,119.00,300.00,25.00,2,100.0,10.0,10.0,10.0,10.0,10.0
6451305,6,2.5,3.0,4.0,220.00,250.00,125.00,25,96.0,10.0,10.0,10.0,10.0,10.0
7531405,4,1.0,1.0,1.0,85.00,150.00,40.00,8,98.0,10.0,10.0,10.0,9.0,10.0
9612147,4,1.0,2.0,2.0,100.00,200.00,100.00,2,90.0,10.0,9.0,10.0,10.0,9.0
666897,4,1.0,1.0,1.0,99.00,350.00,60.00,18,75.0,6.0,8.0,9.0,8.0,8.0
4061051,4,1.5,1.0,1.0,120.00,,30.00,6,83.0,9.0,9.0,9.0,10.0,8.0
3394338,2,1.0,0.0,1.0,150.00,,,20,93.0,9.0,10.0,10.0,10.0,9.0
4238106,2,1.0,1.0,1.0,75.00,,10.00,6,100.0,10.0,10.0,10.0,10.0,10.0
7350059,2,1.0,1.0,1.0,90.00,,35.00,18,100.0,10.0,10.0,10.0,10.0,10.0
5262750,3,1.0,1.0,2.0,125.00,700.00,30.00,20,100.0,10.0,10.0,10.0,10.0,10.0
2802844,2,1.0,1.0,1.0,90.00,,20.00,16,99.0,10.0,10.0,10.0,9.0,10.0
3123632,2,2.0,1.0,1.0,200.00,,,8,100.0,10.0,10.0,10.0,10.0,10.0
3024336,4,1.5,1.0,2.0,200.00,350.00,75.00,40,98.0,10.0,10.0,10.0,10.0,9.0
8652185,6,3.5,4.0,4.0,287.00,500.00,117.00,1,100.0,10.0,10.0,10.0,10.0,10.0
10192213,2,1.0,0.0,1.0,90.00,,,0,,,,,,
3970736,5,1.0,1.0,1.0,90.00,350.00,45.00,51,97.0,10.0,10.0,10.0,9.0,9.0
4546924,4,1.0,1.0,3.0,150.00,300.00,125.00,36,99.0,10.0,10.0,10.0,10.0,10.0
2760901,2,1.0,1.0,1.0,119.00,,,16,98.0,10.0,10.0,10.0,9.0,10.0
3490239,5,2.5,2.0,3.0,150.00,200.00,100.00,7,97.0,9.0,10.0,10.0,9.0,9.0
3416217,2,1.0,1.0,1.0,170.00,,,31,96.0,9.0,10.0,10.0,10.0,9.0
5537833,4,1.0,2.0,3.0,150.00,600.00,60.00,6,100.0,10.0,10.0,10.0,9.0,10.0
8372562,5,3.0,3.0,5.0,279.00,250.00,200.00,1,100.0,10.0,10.0,10.0,10.0,10.0
8866960,2,1.0,1.0,1.0,55.00,,,3,90.0,10.0,10.0,10.0,10.0,10.0
3354614,4,1.0,1.0,2.0,125.00,150.00,35.00,29,90.0,10.0,9.0,9.0,9.0,10.0
8953857,4,1.0,1.0,3.0,129.00,,,0,,,,,,
7093738,2,1.0,1.0,1.0,90.00,,30.00,1,100.0,10.0,10.0,10.0,10.0,10.0
5277900,6,2.0,3.0,5.0,199.00,250.00,90.00,9,96.0,10.0,10.0,10.0,9.0,10.0
1171574,2,1.0,1.0,1.0,65.00,,,158,98.0,10.0,10.0,10.0,9.0,10.0
1818754,6,2.0,2.0,2.0,200.00,300.00,112.00,0,,,,,,
74328,3,1.0,1.0,1.0,92.00,250.00,75.00,53,93.0,10.0,9.0,10.0,9.0,9.0
6728017,7,2.5,3.0,3.0,257.00,250.00,100.00,1,100.0,10.0,10.0,10.0,6.0,10.0
2612399,2,1.0,0.0,1.0,79.00,,,62,99.0,10.0,10.0,10.0,9.0,10.0
2515795,6,1.5,3.0,3.0,200.00,1000.00,200.00,22,94.0,10.0,10.0,9.0,9.0,10.0
7093910,2,1.0,1.0,1.0,80.00,,30.00,2,60.0,6.0,9.0,9.0,9.0,6.0
4170863,2,1.0,1.0,1.0,85.00,100.00,20.00,5,96.0,10.0,10.0,10.0,9.0,10.0
7941079,3,1.5,1.0,1.0,65.00,175.00,15.00,7,100.0,10.0,10.0,10.0,10.0,9.0
1442973,4,1.0,2.0,2.0,105.00,,58.00,14,97.0,10.0,10.0,9.0,9.0,10.0
4396961,2,2.0,1.0,1.0,59.00,,,34,96.0,10.0,10.0,10.0,10.0,10.0
5859152,3,1.5,1.0,1.0,59.00,175.00,16.00,15,95.0,9.0,10.0,10.0,9.0,9.0
8555794,2,1.5,1.0,1.0,75.00,,,0,,,,,,
2112625,2,1.5,1.0,1.0,56.00,,30.00,18,98.0,10.0,10.0,10.0,9.0,10.0
8814802,3,1.0,1.0,1.0,100.00,,,0,,,,,,
8273948,2,1.0,1.0,1.0,85.00,150.00,,13,92.0,10.0,9.0,9.0,10.0,9.0
319768,8,2.5,3.0,4.0,135.00,,100.00,5,100.0,8.0,10.0,10.0,9.0,10.0
1961671,6,2.0,3.0,3.0,200.00,200.00,75.00,20,100.0,10.0,10.0,10.0,10.0,10.0
3691288,8,2.5,3.0,3.0,163.00,200.00,85.00,5,100.0,10.0,10.0,10.0,10.0,10.0
8703557,2,1.0,1.0,1.0,83.00,250.00,25.00,0,,,,,,
8525338,5,3.5,3.0,3.0,210.00,,,0,,,,,,
8049470,2,1.0,1.0,1.0,59.00,,,14,100.0,10.0,10.0,10.0,10.0,10.0
1455908,6,1.5,2.0,3.0,135.00,350.00,50.00,32,97.0,10.0,10.0,10.0,9.0,9.0
8525825,2,1.5,1.0,1.0,75.00,,,1,100.0,8.0,10.0,10.0,8.0,10.0
3463245,2,1.0,1.0,1.0,109.00,,,20,98.0,10.0,9.0,10.0,10.0,9.0
4172364,2,2.0,1.0,1.0,55.00,,,33,97.0,10.0,10.0,10.0,10.0,10.0
3728802,8,3.5,5.0,5.0,500.00,500.00,250.00,3,93.0,9.0,10.0,10.0,9.0,8.0
6512378,1,1.0,1.0,1.0,55.00,,,12,97.0,10.0,10.0,10.0,9.0,10.0
785830,8,3.5,5.0,5.0,400.00,,120.00,2,100.0,10.0,9.0,10.0,9.0,10.0
8616606,4,2.5,2.0,2.0,105.00,,85.00,14,97.0,9.0,10.0,10.0,10.0,10.0
5078244,2,1.0,1.0,1.0,39.00,,,54,82.0,7.0,9.0,9.0,9.0,9.0
7921278,2,1.0,1.0,2.0,50.00,99.00,50.00,10,100.0,10.0,10.0,10.0,9.0,10.0
8016610,4,1.0,2.0,2.0,129.00,200.00,78.00,7,100.0,10.0,10.0,10.0,9.0,10.0
4468524,1,2.0,1.0,1.0,44.00,,,41,99.0,10.0,10.0,10.0,10.0,10.0
8424532,12,3.5,5.0,8.0,350.00,500.00,250.00,2,100.0,10.0,10.0,10.0,10.0,10.0
6990882,10,3.5,3.0,3.0,300.00,300.00,110.00,31,97.0,10.0,10.0,10.0,9.0,10.0
4017140,2,1.0,1.0,1.0,53.00,,,37,95.0,9.0,10.0,10.0,9.0,10.0
9489310,2,1.0,1.0,1.0,60.00,,,1,100.0,10.0,10.0,10.0,10.0,10.0
8104742,10,3.5,3.0,3.0,285.00,300.00,110.00,2,100.0,10.0,10.0,10.0,9.0,10.0
9407255,4,1.0,2.0,3.0,210.00,250.00,125.00,0,,,,,,
6475289,5,1.0,1.0,3.0,159.00,300.00,60.00,34,100.0,10.0,10.0,10.0,10.0,10.0
1377812,5,1.0,3.0,3.0,225.00,1000.00,150.00,55,98.0,10.0,10.0,10.0,10.0,10.0
9512909,3,1.0,1.0,1.0,66.00,,25.00,2,100.0,10.0,10.0,10.0,10.0,10.0
4432489,4,1.0,1.0,1.0,80.00,200.00,45.00,40,94.0,10.0,9.0,9.0,10.0,10.0
7471629,3,1.0,1.0,1.0,79.00,250.00,35.00,27,96.0,10.0,9.0,10.0,9.0,9.0
8067827,2,2.0,1.0,1.0,120.00,,50.00,1,100.0,10.0,10.0,10.0,10.0,10.0
4384095,2,2.0,1.0,1.0,49.00,,,42,97.0,10.0,10.0,10.0,9.0,10.0
1351716,4,1.0,1.0,2.0,122.00,,,113,95.0,10.0,10.0,10.0,9.0,9.0
8392661,2,1.0,0.0,1.0,90.00,,15.00,15,83.0,10.0,10.0,9.0,9.0,9.0
281208,6,2.5,2.0,4.0,196.00,,110.00,27,98.0,10.0,10.0,10.0,9.0,10.0
7859909,2,1.0,1.0,1.0,115.00,,30.00,14,89.0,9.0,10.0,10.0,9.0,9.0
9416373,4,1.0,1.0,3.0,150.00,,,0,,,,,,
1404307,4,1.5,2.0,2.0,125.00,100.00,80.00,15,99.0,10.0,10.0,10.0,10.0,10.0
7480843,6,2.0,3.0,3.0,175.00,500.00,120.00,0,,,,,,
877203,2,1.5,1.0,2.0,60.00,,30.00,27,93.0,9.0,9.0,9.0,8.0,9.0
7037291,2,1.5,1.0,1.0,70.00,,12.00,22,94.0,10.0,10.0,9.0,9.0,9.0
7931386,4,2.0,3.0,2.0,175.00,,20.00,4,100.0,10.0,10.0,10.0,10.0,10.0
8173825,2,1.0,1.0,2.0,100.00,250.00,25.00,0,,,,,,
6759104,2,2.0,1.0,1.0,69.00,,,12,93.0,10.0,10.0,10.0,9.0,10.0
7619060,2,1.0,1.0,1.0,69.00,200.00,20.00,19,98.0,10.0,10.0,10.0,10.0,10.0
7095802,2,1.0,1.0,1.0,35.00,200.00,20.00,23,84.0,8.0,9.0,10.0,8.0,9.0
8103432,4,1.0,3.0,2.0,140.00,,50.00,1,,,,,,
3998922,2,1.0,1.0,1.0,68.00,,,17,96.0,10.0,10.0,10.0,9.0,10.0
8922153,2,1.5,1.0,1.0,55.00,,5.00,0,,,,,,
5932882,4,1.5,1.0,1.0,100.00,150.00,,4,100.0,10.0,10.0,10.0,10.0,10.0
6187340,2,1.0,0.0,1.0,70.00,,25.00,4,100.0,10.0,10.0,10.0,10.0,10.0
8350401,2,1.5,1.0,1.0,90.00,,,1,100.0,10.0,10.0,10.0,10.0,10.0
1273432,6,2.5,2.0,3.0,275.00,500.00,250.00,14,96.0,10.0,10.0,10.0,9.0,9.0
2830174,2,1.0,1.0,1.0,60.00,,5.00,26,97.0,10.0,10.0,10.0,9.0,10.0
9370866,4,1.5,2.0,2.0,125.00,,,1,100.0,10.0,10.0,10.0,10.0,10.0
8339303,4,1.0,1.0,2.0,100.00,100.00,50.00,0,,,,,,
8107555,2,1.0,0.0,1.0,115.00,,25.00,0,,,,,,
3946160,2,1.0,1.0,1.0,90.00,,15.00,141,96.0,10.0,10.0,10.0,9.0,10.0
4061207,4,2.0,2.0,3.0,90.00,,,3,100.0,10.0,10.0,10.0,9.0,10.0
113951,6,2.5,3.0,3.0,250.00,,100.00,10,100.0,10.0,10.0,10.0,10.0,10.0
5102135,4,1.0,1.0,2.0,119.00,250.00,20.00,0,,,,,,
5060388,4,1.0,0.0,2.0,95.00,250.00,25.00,38,97.0,10.0,10.0,10.0,9.0,10.0
286712,7,3.5,3.0,3.0,218.00,,170.00,39,88.0,9.0,9.0,9.0,8.0,9.0
5463875,3,1.0,1.0,1.0,120.00,,25.00,1,100.0,10.0,10.0,10.0,10.0,10.0
4316910,2,1.0,0.0,1.0,64.00,,20.00,18,89.0,9.0,9.0,9.0,9.0,10.0
7093986,2,1.0,1.0,1.0,80.00,,,0,,,,,,
4777832,4,1.0,0.0,2.0,170.00,,50.00,80,99.0,10.0,10.0,10.0,9.0,10.0
7429207,4,2.0,3.0,2.0,168.00,350.00,95.00,1,100.0,10.0,10.0,10.0,8.0,10.0
7664565,2,1.0,1.0,1.0,60.00,,15.00,25,98.0,10.0,10.0,10.0,9.0,10.0
5792683,3,1.0,0.0,2.0,85.00,400.00,80.00,4,90.0,10.0,10.0,9.0,7.0,9.0
1856970,2,1.0,1.0,1.0,70.00,,,183,97.0,10.0,10.0,10.0,9.0,10.0
4084712,4,1.0,2.0,3.0,115.00,100.00,50.00,45,93.0,9.0,10.0,10.0,9.0,9.0
6411986,4,1.0,1.0,1.0,90.00,,,9,84.0,8.0,9.0,10.0,8.0,7.0
9258687,2,1.5,1.0,1.0,125.00,1500.00,75.00,0,,,,,,
9426058,2,1.0,1.0,1.0,80.00,,30.00,1,100.0,10.0,10.0,10.0,10.0,10.0
9736801,3,1.0,0.0,2.0,90.00,149.00,60.00,0,,,,,,
4297068,4,2.0,2.0,2.0,149.00,300.00,25.00,6,100.0,10.0,10.0,10.0,10.0,10.0
8221520,8,3.0,3.0,3.0,250.00,250.00,120.00,7,94.0,9.0,9.0,9.0,9.0,9.0
2387605,4,1.0,1.0,2.0,69.00,200.00,20.00,61,98.0,10.0,10.0,10.0,9.0,10.0
8389809,2,1.0,1.0,1.0,65.00,100.00,,2,100.0,10.0,10.0,10.0,10.0,10.0
7048843,2,0.5,1.0,1.0,40.00,100.00,20.00,26,86.0,8.0,9.0,9.0,8.0,9.0
879181,2,1.5,1.0,1.0,60.00,95.00,30.00,31,95.0,9.0,10.0,9.0,9.0,9.0
6423488,4,2.0,2.0,2.0,149.00,,75.00,5,96.0,10.0,10.0,9.0,10.0,10.0
7241905,2,1.0,1.0,1.0,115.00,200.00,30.00,7,100.0,10.0,10.0,10.0,9.0,10.0
1246809,6,1.0,1.0,3.0,79.00,100.00,75.00,64,89.0,9.0,9.0,9.0,8.0,8.0
10273158,2,1.0,0.0,1.0,129.00,300.00,50.00,0,,,,,,
5615620,2,1.0,0.0,1.0,100.00,100.00,,52,95.0,9.0,10.0,10.0,10.0,9.0
936484,2,1.0,1.0,2.0,76.00,,99.00,7,91.0,9.0,9.0,9.0,10.0,9.0
5415077,2,2.0,1.0,1.0,95.00,,30.00,43,95.0,9.0,10.0,10.0,10.0,10.0
938785,4,1.0,1.0,2.0,100.00,,99.00,13,86.0,9.0,8.0,9.0,10.0,9.0
934216,6,2.0,2.0,3.0,137.00,,99.00,20,88.0,9.0,10.0,9.0,10.0,9.0
6119821,8,0.0,1.0,8.0,38.00,,6.00,19,93.0,9.0,9.0,9.0,10.0,9.0
3385421,4,2.5,2.0,2.0,557.00,780.00,180.00,31,99.0,10.0,10.0,10.0,10.0,10.0
5981343,6,1.0,1.0,3.0,160.00,100.00,25.00,48,98.0,10.0,10.0,10.0,10.0,9.0
9706229,2,1.0,0.0,1.0,179.00,,,6,87.0,10.0,9.0,10.0,10.0,9.0
8212989,8,8.0,1.0,8.0,41.00,,,3,87.0,9.0,9.0,9.0,10.0,10.0
9444769,4,1.0,1.0,2.0,97.00,,75.00,0,,,,,,
5422159,3,1.0,0.0,1.0,99.00,100.00,60.00,43,91.0,9.0,9.0,9.0,10.0,9.0
9532861,2,1.0,0.0,1.0,149.00,,,1,60.0,8.0,6.0,8.0,8.0,6.0
3380159,3,1.0,1.0,1.0,199.00,300.00,60.00,50,94.0,10.0,10.0,10.0,10.0,9.0
9294683,3,1.0,1.0,1.0,157.00,,,14,99.0,10.0,10.0,10.0,10.0,10.0
8253456,4,1.0,0.0,2.0,170.00,100.00,50.00,10,98.0,10.0,10.0,10.0,10.0,9.0
944237,4,1.0,1.0,2.0,85.00,,75.00,9,93.0,9.0,9.0,10.0,10.0,10.0
4165387,4,2.0,2.0,2.0,299.00,300.00,64.00,26,98.0,10.0,10.0,10.0,10.0,10.0
9866984,2,1.0,1.0,1.0,95.00,100.00,25.00,1,100.0,10.0,10.0,10.0,10.0,10.0
7179337,4,1.0,1.0,2.0,99.00,,75.00,14,92.0,10.0,10.0,9.0,10.0,9.0
9768655,3,1.0,1.0,2.0,165.00,200.00,65.00,0,,,,,,
8015531,4,1.0,0.0,2.0,114.00,95.00,45.00,40,95.0,10.0,10.0,10.0,10.0,9.0
991961,5,2.0,2.0,2.0,311.00,,113.00,7,100.0,10.0,10.0,10.0,10.0,9.0
4597584,2,1.0,0.0,1.0,160.00,300.00,50.00,0,,,,,,
8035212,3,1.0,0.0,2.0,100.00,,,31,97.0,9.0,10.0,9.0,10.0,9.0
8053396,3,1.0,1.0,1.0,150.00,,50.00,21,95.0,10.0,10.0,10.0,10.0,10.0
9634448,4,2.0,1.0,2.0,357.00,250.00,75.00,0,,,,,,
2516391,3,1.0,1.0,2.0,135.00,500.00,75.00,16,98.0,10.0,10.0,10.0,10.0,10.0
7581631,4,1.0,2.0,2.0,110.00,500.00,100.00,6,100.0,10.0,10.0,10.0,9.0,10.0
7067650,4,1.0,1.0,1.0,75.00,200.00,70.00,9,93.0,9.0,10.0,10.0,10.0,10.0
706385,2,1.0,1.0,1.0,138.00,300.00,50.00,188,100.0,10.0,10.0,10.0,10.0,10.0
6005443,2,1.0,1.0,1.0,129.00,300.00,50.00,3,100.0,10.0,10.0,10.0,10.0,10.0
6883913,2,1.0,1.0,1.0,120.00,,40.00,31,95.0,10.0,10.0,10.0,10.0,9.0
6523393,4,1.0,1.0,1.0,95.00,,,26,98.0,10.0,10.0,10.0,10.0,10.0
7922676,2,1.0,1.0,1.0,140.00,200.00,50.00,0,,,,,,
6766513,2,1.0,1.0,1.0,95.00,200.00,25.00,20,98.0,10.0,10.0,10.0,9.0,10.0
682135,3,1.0,1.0,1.0,91.00,125.00,75.00,7,96.0,10.0,10.0,10.0,10.0,10.0
4678866,3,1.0,1.0,2.0,135.00,250.00,20.00,2,100.0,10.0,10.0,10.0,10.0,8.0
708774,4,1.0,1.0,1.0,95.00,500.00,70.00,47,95.0,10.0,10.0,10.0,10.0,10.0
3158210,3,1.0,1.0,1.0,140.00,,35.00,20,96.0,10.0,10.0,10.0,10.0,9.0
1494828,4,1.0,2.0,2.0,125.00,500.00,100.00,81,98.0,10.0,10.0,10.0,10.0,10.0
7291403,3,1.0,1.0,1.0,150.00,,30.00,2,90.0,8.0,10.0,10.0,9.0,9.0
7075357,4,1.5,2.0,3.0,129.00,,35.00,2,100.0,10.0,10.0,10.0,10.0,10.0
8000037,1,1.0,1.0,1.0,50.00,,,0,,,,,,
1652097,4,1.0,1.0,2.0,85.00,150.00,35.00,22,86.0,9.0,9.0,10.0,9.0,8.0
4660460,2,1.0,0.0,1.0,82.00,,30.00,41,95.0,10.0,10.0,10.0,10.0,10.0
1944596,2,1.0,1.0,1.0,103.00,,,29,97.0,10.0,10.0,10.0,10.0,10.0
5593504,2,1.0,1.0,1.0,59.00,,5.00,16,96.0,10.0,10.0,10.0,10.0,10.0
7999692,4,1.0,1.0,1.0,150.00,,,1,80.0,8.0,10.0,10.0,10.0,8.0
619366,2,1.0,1.0,1.0,115.00,300.00,50.00,146,98.0,10.0,10.0,10.0,10.0,10.0
7999972,2,1.0,1.0,1.0,100.00,,,0,,,,,,
3379116,8,1.0,2.0,4.0,300.00,100.00,,43,98.0,10.0,10.0,10.0,9.0,10.0
10272763,2,1.0,1.0,1.0,68.00,,5.00,0,,,,,,
10077121,3,1.0,1.0,1.0,52.00,,,0,,,,,,
7536219,2,1.0,0.0,1.0,91.00,200.00,50.00,8,88.0,8.0,9.0,10.0,10.0,9.0
4688603,2,1.0,1.0,1.0,59.00,,,2,90.0,10.0,10.0,10.0,9.0,9.0
7936877,2,1.0,0.0,1.0,129.00,100.00,50.00,0,,,,,,
3627658,3,1.0,1.0,1.0,125.00,1500.00,10.00,9,87.0,9.0,8.0,9.0,9.0,8.0
6363779,2,1.0,1.0,1.0,195.00,250.00,25.00,2,90.0,7.0,10.0,10.0,10.0,10.0
2693137,2,1.0,1.0,1.0,58.00,,5.00,89,89.0,9.0,10.0,10.0,9.0,9.0
7697340,8,2.5,3.0,3.0,600.00,2000.00,145.00,2,60.0,10.0,10.0,8.0,8.0,6.0
5707514,2,1.0,1.0,1.0,89.00,200.00,35.00,0,,,,,,
7844444,4,1.0,0.0,2.0,100.00,,,6,73.0,6.0,9.0,9.0,9.0,7.0
7481498,3,1.0,2.0,2.0,125.00,,50.00,11,96.0,10.0,10.0,10.0,9.0,10.0
535300,2,1.0,1.0,1.0,82.00,,30.00,115,92.0,9.0,10.0,10.0,10.0,9.0
68508,4,1.0,2.0,2.0,225.00,250.00,150.00,0,,,,,,
8294379,2,1.0,1.0,1.0,55.00,,,4,100.0,10.0,10.0,10.0,10.0,10.0
9137487,2,1.0,1.0,1.0,90.00,,35.00,0,,,,,,
4481979,2,1.0,1.0,1.0,134.00,500.00,79.00,6,100.0,10.0,10.0,10.0,10.0,10.0
5353512,2,1.0,1.0,1.0,42.00,100.00,,4,75.0,7.0,8.0,9.0,7.0,7.0
244499,2,1.0,1.0,1.0,125.00,250.00,40.00,34,96.0,10.0,10.0,10.0,10.0,10.0
3316219,6,1.0,2.0,2.0,115.00,,40.00,106,77.0,8.0,9.0,9.0,8.0,8.0
6613601,3,1.0,1.0,1.0,125.00,,20.00,9,98.0,10.0,10.0,10.0,10.0,10.0
7833113,2,1.0,1.0,1.0,55.00,,10.00,16,96.0,10.0,10.0,10.0,10.0,10.0
7439802,6,2.0,2.0,3.0,550.00,500.00,55.00,7,100.0,10.0,10.0,10.0,10.0,10.0
10135378,2,1.0,1.0,1.0,90.00,,40.00,0,,,,,,
9330174,3,1.0,1.0,1.0,100.00,,,3,100.0,10.0,10.0,10.0,10.0,10.0
9597415,2,1.0,1.0,1.0,95.00,,,0,,,,,,
8831088,4,1.0,1.0,2.0,110.00,300.00,15.00,0,,,,,,
7401671,2,1.0,0.0,1.0,80.00,,10.00,15,82.0,8.0,10.0,10.0,9.0,8.0
5330475,4,2.0,1.0,1.0,100.00,,25.00,2,100.0,9.0,10.0,10.0,10.0,10.0
8067001,2,1.0,0.0,1.0,90.00,1200.00,,1,100.0,10.0,10.0,10.0,10.0,10.0
8829089,1,2.0,1.0,1.0,100.00,,,0,,,,,,
8814555,2,1.5,1.0,1.0,88.00,2000.00,100.00,0,,,,,,
6852288,2,1.0,1.0,1.0,59.00,200.00,40.00,14,85.0,8.0,10.0,9.0,10.0,9.0
6913706,4,1.0,1.0,1.0,183.00,300.00,60.00,20,96.0,10.0,10.0,10.0,10.0,9.0
2387265,2,1.0,0.0,1.0,135.00,,25.00,0,,,,,,
48319,2,1.0,1.0,1.0,220.00,,40.00,21,96.0,9.0,9.0,9.0,9.0,9.0
9885225,3,1.0,1.0,1.0,183.00,300.00,60.00,0,,,,,,
8083242,2,1.0,1.0,1.0,115.00,,50.00,3,73.0,5.0,10.0,10.0,7.0,6.0
8704964,4,1.0,1.0,4.0,100.00,,,0,,,,,,
6990477,3,1.0,1.0,1.0,183.00,300.00,60.00,26,98.0,10.0,10.0,10.0,10.0,10.0
117862,2,1.0,1.0,1.0,115.00,500.00,50.00,19,98.0,9.0,10.0,10.0,10.0,9.0
7777219,2,1.0,1.0,1.0,75.00,100.00,25.00,4,90.0,10.0,10.0,9.0,10.0,9.0
7203765,2,1.0,0.0,1.0,110.00,,50.00,1,80.0,6.0,10.0,10.0,8.0,10.0
7840228,3,1.0,1.0,1.0,183.00,300.00,60.00,6,100.0,10.0,10.0,10.0,10.0,9.0
7438635,2,1.0,1.0,1.0,220.00,500.00,55.00,12,100.0,10.0,10.0,10.0,10.0,10.0
9389755,3,1.0,1.0,1.0,119.00,100.00,60.00,3,93.0,9.0,10.0,10.0,10.0,10.0
9151865,2,1.0,1.0,1.0,75.00,100.00,25.00,1,40.0,10.0,10.0,10.0,10.0,4.0
7204672,6,2.5,3.0,3.0,200.00,200.00,75.00,2,90.0,9.0,10.0,10.0,10.0,9.0
5579427,7,2.0,3.0,3.0,229.00,300.00,150.00,4,100.0,10.0,10.0,10.0,10.0,10.0
6734621,10,3.5,3.0,5.0,333.00,360.00,130.00,29,94.0,10.0,10.0,10.0,9.0,10.0
2263643,1,1.0,1.0,1.0,41.00,,10.00,57,89.0,9.0,9.0,10.0,9.0,9.0
4608208,2,1.0,1.0,1.0,70.00,,,39,98.0,10.0,10.0,10.0,10.0,10.0
9999955,1,1.0,1.0,1.0,55.00,,20.00,0,,,,,,
3528627,2,1.0,1.0,2.0,70.00,,,20,86.0,8.0,9.0,9.0,9.0,8.0
8048333,4,1.0,1.0,2.0,97.00,500.00,120.00,0,,,,,,
8050642,12,3.5,5.0,7.0,350.00,500.00,250.00,3,100.0,9.0,9.0,10.0,9.0,10.0
7329805,6,1.0,2.0,4.0,200.00,250.00,100.00,7,94.0,10.0,10.0,10.0,9.0,10.0
6848455,5,2.5,3.0,3.0,225.00,,100.00,9,98.0,10.0,10.0,10.0,10.0,10.0
9695233,4,1.0,1.0,2.0,115.00,,,0,,,,,,
5164581,2,1.0,1.0,1.0,40.00,100.00,8.00,58,94.0,9.0,10.0,10.0,9.0,10.0
2208757,8,2.5,3.0,3.0,150.00,100.00,50.00,0,,,,,,
226536,2,1.0,1.0,1.0,46.00,95.00,20.00,25,91.0,9.0,10.0,10.0,9.0,9.0
176678,2,1.0,1.0,1.0,64.00,,,57,97.0,10.0,10.0,10.0,9.0,10.0
7050534,2,1.0,1.0,1.0,125.00,,15.00,3,100.0,10.0,10.0,10.0,10.0,10.0
8248970,6,2.0,3.0,4.0,250.00,250.00,75.00,2,100.0,10.0,10.0,10.0,10.0,10.0
4824699,4,1.0,0.0,2.0,147.00,200.00,25.00,0,,,,,,
3876097,1,1.0,1.0,1.0,30.00,,10.00,16,97.0,9.0,10.0,10.0,10.0,9.0
1260259,3,1.0,1.0,1.0,150.00,,,64,100.0,10.0,10.0,10.0,10.0,10.0
8443952,2,1.0,1.0,1.0,78.00,,45.00,0,,,,,,
10068879,4,1.0,1.0,2.0,120.00,100.00,25.00,0,,,,,,
8173487,5,2.0,3.0,2.0,280.00,300.00,100.00,2,80.0,10.0,10.0,9.0,10.0,8.0
685600,2,1.0,1.0,1.0,75.00,100.00,50.00,8,100.0,9.0,10.0,10.0,10.0,10.0
8483477,4,1.0,1.0,1.0,178.00,,,1,60.0,8.0,10.0,10.0,10.0,8.0
10136155,8,1.0,5.0,5.0,480.00,,,0,,,,,,
6959336,5,1.0,2.0,3.0,129.00,200.00,100.00,3,73.0,7.0,9.0,9.0,7.0,7.0
5195064,2,1.0,1.0,1.0,50.00,100.00,8.00,64,93.0,9.0,10.0,10.0,9.0,9.0
9961538,4,1.0,1.0,1.0,50.00,100.00,15.00,0,,,,,,
8301680,5,2.0,3.0,3.0,175.00,500.00,100.00,1,100.0,10.0,10.0,10.0,10.0,10.0
492287,2,1.0,1.0,1.0,88.00,100.00,20.00,71,93.0,10.0,10.0,10.0,9.0,10.0
